"lat","lon","camp","state","name","type","phone","devel","sites","nforg","elev","upd","hookups","toilets","water","date","url","camp_id","url_confirmed","directions","reservations","comments","town","dump","showers","rv_length","pets","ra_number","season","fee","air_mi_from_town","dir_from_town"
"42.722000","-124.040000","Island Camp","OR","ISLC","NF","541.439.6200","3","5","61105","1000",,"NH","VT","NW","1","www.reserveamerica.com/","11","1",,"NR",,,"ND","NS","0",,"0",,,,
"43.748610","-122.009170","Islet","OR","ISLE","NF","541.782.2283","4","55","61810","5446",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/wil.htm","12","0",,"NR",,"Oakridge","ND","NS","30",,"0",,,"22.6","E"
"44.484600","-121.700810","Jack Creek","OR","JACC","NF","541.549.7700","3","19","60105","3143",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","13","0",,"NR",,"Sisters","ND","NS","0",,"0",,,"15.3","NW"
"42.984770","-121.453040","Jackson Creek","OR","JACK","NF","541.365.7001","2","12","60211","4803",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/win.htm","14","0",,"NR",,"Chemult","ND","NS","0",,"0",,,"23.1","SE"
"42.113790","-123.086500","Jackson  Complex","OR","JACX","NF","541.899.3800","4","4","61001","1686",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/rog.htm","15","0",,"NR",,"Ruch","ND","NS","0",,"0",,,"8.8","S"
"44.782220","-122.608890","John Neal Memorial Park","OR","JOHM","CP","541.967.3917",,,,"643",,"NH",,"DW","100309","www.co.linn.or.us/parks/parks/johnneal.html","16","1",,,,"Lyons","ND","NS","0",,"0",,,"0.6","NE"
"42.607750","-120.600400","Jones Crossing Forest Camp","OR","JONE","NF","541.943.3114","3","8","60203","4839","cc","NH","VT","NW","1","www.eugenecarsey.com/camp/paisley/paisley.htm","17","1",,"NR",,"Paisley","ND","NS","0",,"0",,,"6.6","SW"
"45.589440","-123.556940","Jones Creek","OR","JONS","SF","503.842.2545",,,,"617",,"NH",,,"1","www.oregon.gov/ODF/tillamookstateforest/jonescreekcampground.shtml","18","1",,"NR",,"Tillamook","ND","NS","0",,"0",,,"16.7","NE"
"42.242300","-123.686300","Josephine Creek Camp","OR","JOSE","NF","541.471.6500","3","6","61102","2546"," ","NH","VT","NW","1",,"19","0",,"NR",,"Selma","ND","NS","0",,"0",,,"4.4","SW"
"42.684330","-122.614990","Joseph Stewart State Park","OR","JOSS","SP","541.560.3334",,,,"2001",,"E",,"DW","1","www.oregonstateparks.org/park_30.php","20","0",,"RS",,"Medford","DP","SH","0",,"402366","all year","L$","28.1","NE"
"45.828070","-117.963760","Jubilee Lake","OR","JUBI","NF","509.522.6290","4","115","61406","4744",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/uma.htm","21","0",,"NR",,"Weston","ND","NS","0",,"0",,,"22.2","E"
"45.154100","-121.518900","Keeps Mill","OR","KEEP","NF","541.467.2291","2","5","60601","2615",,"NH","VT","NW","1","www.allstays.com/Campgrounds/or-dufur-campgrounds.htm","22","1",,"NR",,"Dufur","ND","NS","0",,"0",,"L$","28","SW"
"43.885560","-122.254720","Kiahanie","OR","KIAH","NF","541.782.2283","3","19","61810","2267",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/wil.htm","23","0",,"NR",,"Oakridge","ND","NS","0",,"0",,,"14.1","NE"
"45.538820","-123.784950","Kilchis Park","OR","KILC","CP","503.842.6694",,"62",,"131","cc","NH",,"DW","1","www.oregoncoasttravel.net/125/oregon_coast/Kilchis-River-Park.htm","24","0",,,,"Tillamook","DP","NS","0",,"0","mid may-mid sep",,"6.4","NE"
"44.977600","-122.090200","Kingfisher","OR","KING","NF","503.630.5721","3","23","60605","1854",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","25","0",,"RS",,"Estacada","ND","NS","0",,"71639","mid may-late aug",,"24.6","SE"
"45.458600","-121.661400","Kinnickinnick","OR","KINN","NF","541.352.6002","3","15","60606","2963",,"NH","VT","NW","100716","forestcamping.com/dow/pacficnw/mth.htm","26","0",,"NR",,"Parkdale","ND","NS","0",,"0",,,"5.3","SW"
"45.435700","-121.479000","Knebal Springs","OR","KNEB","NF","541.467.2291","3","8","60601","3822",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Dufur/property_2494/rv_parks_campgrounds.html","27","1",,"NR",,"Dufur","ND","NS","22",,"0",,"L$","16.9","W"
"43.879550","-124.142190","Lagoon","OR","LAGO","NF","541.563.3211","5","41","61208","33",,"NH","FT","DW","1","forestcamping.com/dow/pacficnw/sius.htm","28","0",,"RS","shower and dump at nearby park","Florence","ND","NS","35","PA","75472","all year",,"7.4","S"
"44.332170","-122.046170","Lakes End","OR","LAKE","NF","541.822.3381","3","14","61801","2943",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/wil.htm","29","0",,"NR",,"Blue River","ND","NS","0",,"0",,,"19","NE"
"45.009560","-116.912970","Lake Fork","OR","LAKF","NF","541.426.4978","4","10","61604","3333",,"NH","VT","NW","1","www.forestcamping.com/dow/pacficnw/wwinfo.htm","30","1",,"NR",,"Joseph","ND","NS","0",,"0",,,"28.4","SE"
"45.073700","-121.957800","Lake Harriet","OR","LAKH","NF","503.630.6861","3","16","60605","2103",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","31","0",,"RS",,"Estacada","ND","NS","0",,"71641","early may-mid sep",,"23.6","SE"
"43.619870","-117.237310","Lake Owyhee State Park","OR","LAKO","SP","541.339.2331",,,,"2772",,"WES",,,"1","www.oregonstateparks.org/park_14.php","32","0",,"RS",,"Nyssa","DP","SH","0",,"405415","all year",,"21.5","SW"
"42.267720","-123.581260","Lake Selmac County Park","OR","LAKS","CP","541.474.5285",,,,"1703",,,,,"100716","www.co.josephine.or.us/Page.asp?NavID=492","33","1",,,"4 campgrounds","Selma",,,"0",,"0",,,"2.0","SE"
"43.216630","-122.721300","Lake In The Woods","OR","LAKW","NF","541.496.3532","3","17","61506","3146",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/ump.htm","34","0",,"NR",,"Glide","ND","NS","0",,"0",,,"20","E"
"45.190190","-118.765080","Lane Creek","OR","LANE","NF","541.427.3231","3","8","61405","3891",,"NH","VT","NW","1","www.ohwy.com/or/w/whitcrcg.htm","35","1",,"NR",,"Ukiah","ND","NS","0",,"0",,,"9","NE"
"43.764400","-121.526500","Lapine State Park","OR","LAPI","SP","541.536.2071",,"129",,"4222","cc","WES",,"DW","1","www.oregonstateparks.org/park_41.php","36","0",,"RS",,"Bend","DP","SH","0","PA","402479","all year",,"22.9","SW"
"44.260040","-121.785010","Lava Camp Lake","OR","LAVC","NF","541.549.7700","2","12","60105","5331",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","37","0",,"NR",,"Sisters","ND","NS","0",,"0",,,"11.9","W"
"43.616650","-121.821560","Lava Flow","OR","LAVF","BLM","541.433.3200",,,,"4455","cc",,,,"120703","www.blm.gov/or/onlineservices/brochures.php","38","0",,"NR","unknown facilities","Crescent","ND","NS","0",,"0",,,"12.4","NW"
"43.913380","-121.765870","Lava Lake","OR","LAVL","NF","541.383.4000","3","44","60101","4767",,"NH","VT","DW","100716","forestcamping.com/dow/pacficnw/desc.htm","39","0",,"NR",,"Bend","ND","NS","30",,"0",,,"24.5","SW"
"43.259280","-124.029050","LaVerne County Park","OR","LAVN","CP","541.396.2344",,,,"272",,"NH",,"DW","100309","www.scod.com/cities/parks/index.html","40","1",,,,"Coquille","DP","SH","0",,"0",,"L$","9.8","NE"
"45.191300","-122.206400","Lazy Bend","OR","LAZY","NF","503.630.4156","4","21","60605","814",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","41","0",,"RS",,"Estacada","ND","NS","16",,"71624","early may-late sep",,"9.2","SE"
"43.713500","-121.242510","Little Crater","OR","LCRA","NF","541.383.4000","4","50","60101","6368",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","42","0",,"NR",,"La Pine","ND","NS","30",,"0",,,"13.4","E"
"42.590120","-120.838630","Lee Thomas","OR","LEET","NF","541.943.3114","3","11","60203","6273",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/fre.htm","43","0",,"NR",,,"ND","NS","0",,"0",,,,
"45.726810","-120.650640","LePage Park","OR","LEPA","COE","541.506.7819",,,,"289",,"E",,"DW","1","corpslakes.usace.army.mil/visitors/projects.cfm?Id=G208480","44","0",,"RS",,"Rufus","DP","SH","0",,"73248","early apr-late nov",,"4.7","NE"
"45.158250","-117.033220","Lick Creek","OR","LICK","NF","541.426.4978","3","10","61604","5459",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Enterprise/property_2507/rv_parks_campgrounds.html","45","1",,"NR",,"Joseph","ND","NS","0",,"0",,,"16.6","SE"
"43.910120","-121.761840","Little Lava Lake","OR","LILL","NF","541.338.7869","3","16","60101","4754",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","46","0",,"RS",,"Bend","ND","NS","0",,"72118","early jun-late sep",,"24.4","SW"
"44.174180","-122.052410","Limberlost","OR","LIMB","NF","541.822.3381","3","10","61801","1814",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Interstate_5/rv_parks_campgrounds.html","47","1",,"NR",,"Blue River","ND","NS","0",,"0",,,"14.3","E"
"44.416240","-121.754780","Link Creek","OR","LINK","NF","541.338.7869","3","36","60105","3488",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","48","0",,"RS",,"Sisters","ND","NS","0","PA","71561","all year",,"13.3","NW"
"45.281700","-121.346200","Little Badger","OR","LITB","NF","541.467.2291","2","6","60601","2073",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Dufur/property_2510/rv_parks_campgrounds.html","49","1",,"NR",,"Dufur","ND","NS","16",,"0",,"L$","15.8","SW"
"44.193360","-118.413410","Little Crane","OR","LITC","NF","541.820.3800","3","5","60404","5545",,"NH","VT","NW","1",,"50","0",,"NR",,"Prairie City","ND","NS","0",,"0",,,"23.7","SE"
"45.148900","-121.742900","Little Crater","OR","LITE","NF","503.622.3191","3","22","60609","3366",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","51","0",,"RS",,"Government Cam","ND","NS","0",,"71658","mid may-mid sep",,"10.7","S"
"43.963060","-121.796920","Little Fawn","OR","LITF","NF","541.383.4000","3","20","60101","4921",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","52","0",,"NR",,"Bend","ND","NS","0",,"0",,,"24.8","W"
"42.153000","-124.145000","Little Redwood","OR","LITR","NF","541.247.3600","4","12","61103","295",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/sis.htm","53","0",,"NR",,"Brookings","ND","NS","0",,"0",,,"9.9","NE"
"43.799640","-121.871830","Little Cultus","OR","LITT","NF","541.383.4000","3","10","60101","4797",,"NH","VT","DW","1","www.visitusa.com/oregon/lakes/littlecultuslake.htm","54","1",,"NR",,"Crescent","ND","NS","0",,"0",,,"24.9","N"
"42.502000","-124.296100","Lobster Creek  and Lobster Bar","OR","LOBS","NF","541.247.3600","4","69","61103","92",,"NH","VT","DW","1","freecampsites.net/lobster-creek-forest-service-campground/","55","1",,"NR",,"Gold Beach","ND","NS","0",,"0","all year","L$","9.2","NE"
"45.165130","-122.152780","Lockaby","OR","LOCB","NF","503.630.6861","3","30","60605","912","cc","NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","56","0",,"RS",,"Estacada","ND","NS","0",,"71625","early may-mid sep",,"12.3","SE"
"42.262860","-120.814920","Lofton Reservoir","OR","LOFT","NF","541.353.2427","3","30","60201","6220",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/fre.htm","57","0",,"NR",,"Bly","ND","NS","0",,"0",,,"14.9","SE"
"44.204920","-122.258600","Lookout Boating Site","OR","LOOK","NF","541.822.3381","4","34","61801","1827",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/wil.htm","58","0",,"NR",,"Blue River","ND","NS","0",,"0",,"L$","5.3","NE"
"43.597740","-123.847850","Loon Lake - Loon Lake","OR","LOON","BLM","541.599.2254",,,,"492",,"NH",,,"120703","www.blm.gov/or/resources/recreation/site_info.php?siteid=34","59","0",,"RS",,"Reedsport","DP",,"0","PA","74083","early jun-late nov",,"14.4","SE"
"45.382400","-121.835500","Lost Creek","OR","LOSC","NF","503.622.3191","4","22","60609","2441",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/mth.htm","60","0",,"NR",,"Zigzag","ND","NS","0",,"0",,,"5.9","NE"
"45.493860","-121.814990","Lost Lake","OR","LOSL","NF","541.352.6002","5","300","60606","3327","cc","NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","61","0",,"NR",,"Parkdale","DP","NS","32",,"0",,,"10.7","W"
"44.403850","-122.074010","Lost Prairie","OR","LOSP","NF","541.367.5168","3","14","61803","3389",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/wil.htm","62","0",,"NR",,"Sweet Home","ND","NS","0",,"0",,,"32.7","E"
"44.429890","-121.912780","Lost Lake","OR","LOST","NF","541.822.3381","2","14","61801","4019",,"NH","VT","NW","1","freecampsites.net/lost-lake/","63","1",,"NR","dispersed","McKenzie Bridg","ND","NS","0",,"0",,"L$","21.5","NE"
"44.557300","-121.620400","Lower Bridge","OR","LOWB","NF","541.549.7700","3","15","60105","2785",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","64","0",,"NR",,"Sisters","ND","NS","0",,"0",,,"18.7","N"
"44.672820","-118.799010","Lower Camp Creek Forest Camp","OR","LOWC","NF","541.575.3000","3","6","60403","3661",,"NH","VT","NW","1",,"65","0",,"NR",,"Bates","ND","NS","0",,"0",,,"15.3","W"
"43.069480","-121.257040","Lower Buck Creek","OR","LOWE","NF","541.576.2107","3","5","60204","5089",,"NH","VT","NW","1","www.oregonsoutback.com/todo/camping/index.html","66","1",,"NR",,"Silver Lake","ND","NS","0",,"0",,,"11.3","W"
"44.823100","-121.795600","Lower Lake - Ollalie Lake","OR","LOWL","NF","503.630.6861","3","8","60605","4862",,"NH","VT","NW","1",,"67","0",,"NR",,"Estacada","ND","NS","16",,"0",,"L$","41.6","SE"
"42.645410","-122.333790","Lower South Fork","OR","LOWS","NF","541.865.2700","3","7","61003","4091",,"NH","VT","NW","1",,"68","0",,"NR",,,"ND","NS","0",,"0",,,,
"44.501220","-121.645760","Lower Canyon Creek","OR","LOWY","NF","541.549.7700","3","7","60105","2890","d","NH","VT","NW","100716","www.roguerivertrips.info/activities/Southern_Oregon_Camping.asp","69","1",,"NR","dupe",,"ND","NS","0",,"0",,,,
"42.036000","-124.108000","Ludlum","OR","LUDL","NF","541.247.3600","4","15","61103","249",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/sis.htm","70","0",,"NR",,"Chetco","ND","NS","0",,"0",,"L$","9.4","E"
"43.651260","-122.677700","Lund Park Forest Camp","OR","LUND","NF","541.767.5000","3","9","61501","1965",,"NH","VT","NW","1",,"71","0",,"NR",,"Cottage Grove","ND","NS","16",,"0",,,"21.6","SE"
"45.386720","-120.870850","Macks Canyon","OR","MACK","BLM","541.416.6700",,,,"489",,"NH",,,"1","www.blm.gov/or/resources/recreation/site_info.php?siteid=330","72","0",,"NR",,"Grass Valley",,,"0",,"0",,,"4.5","NW"
"44.550330","-118.912970","Magone Lake Rec Area","OR","MAGO","NF","541.820.3800","4","66","60403","5052",,"NH","VT","DW","100716","forestcamping.com/dow/pacficnw/mal.htm","73","0",,"RS",,"Mount Vernon","ND","NS","16",,"75128","mid may-late oct",,"13.5","NE"
"43.963390","-121.782930","Mallard Marsh (Hosmer Lake)","OR","MALL","NF","541.383.4000","3","15","60101","4993",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","74","0",,"NR",,"Bend","ND","NS","0",,"0",,,"24.1","W"
"44.609300","-121.944910","Marion Forks","OR","MARI","NF","503.854.3366","3","15","61804","2589",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/wil.htm","75","0",,"NR",,"Detroit","ND","NS","0",,"0",,,"13.3","SE"
"42.623100","-120.604120","Marster Spring","OR","MARS","NF","541.943.3114","3","10","60203","4777",,"NH","VT","DW","1","blog.oregonlive.com/terryrichard/2008/07/camping_oregon_top_10_tent_sit.html","76","1",,"NR",,"Paisley","ND","NS","0",,"0",,,"5.7","SW"
"44.509450","-123.560180","Marys Peak","OR","MARY","NF","541.563.3211","3","6","61208","3550",,"NH","VT","NW","1","www.fs.fed.us/r6/siuslaw/recreation/tripplanning/maryspeak/index.shtml","77","1",,"NR",,"Corvallis","ND","NS","0",,"0",,,"15.2","W"
"42.866460","-122.165040","Mazama  - Crater Lake National Park","OR","MAZA","NP","541.594.3000",,"214",,"6050",,"NH","FT","DW","100716","www.nps.gov/crla/planyourvisit/campgrounds.htm","78","1",,"RS","Reservable as of 2015- www.craterlakelodges.com/ - Can be lots of mosquitos","Rim Village","DP","NS","0",,"0","mid jun-mid sep",,"7",
"44.935470","-117.221360","Mcbride","OR","MCBR","NF","541.742.7511","3","10","61607","4774",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Halfway/property_2537/rv_parks_campgrounds.html","79","1",,"NR",,"Halfway","ND","NS","0",,"0",,,"6.4","NW"
"45.115530","-121.483080","Mccubbins Gulch","OR","MCCB","NF","541.467.2291","3","5","60601","3091","cc","NH","VT","NW","1",,"80","0",,"NR",,"Government Camp","ND","NS","0",,"0",,,"18.6","SE"
"44.766530","-118.246220","Mccully Forks","OR","MCCU","NF","541.523.4476","3","7","61601","4669",,"NH","VT","NW","1","www.treasurefish.com/oregon%20metal%20detecting.htm","81","1",,"NR",,"Baker City","ND","NS","0",,"0",,,"20.2","W"
"43.716880","-121.377290","Mckay Crossing","OR","MCKA","NF","541.383.4000","3","10","60101","4777",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Bend/property_2539/rv_parks_campgrounds.html","82","1",,"NR",,"La Pine","ND","NS","0",,"0",,,"7.1","NE"
"44.175560","-122.174050","Mckenzie Bridge","OR","MCKE","NF","801.226.3564","4","25","61801","1394",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/wil.htm","83","0",,"RS",,"McKenzie Bridge","ND","NS","0","PA","70192","early may-late sep",,"0.5","W"
"45.384100","-121.866800","McNeil","OR","MCNE","NF","503.622.3191","3","34","60609","2073",,"NH","VT","NW","100716","forestcamping.com/dow/pacficnw/mth.htm","84","0",,"NR",,"Welches","ND","NS","0",,"0","mid may-mid sep",,"5.6","NE"
"45.695830","-121.331670","Memaloose State Park","OR","MEMA","SP","541.478.3008",,,,"105",,"WES",,"DW","1","www.oregonstateparks.org/park_163.php","85","0",,"RS",,"The Dalles","DP","SH","0",,"402267","all year",,"10.2","NW"
"44.631010","-118.610910","Middle Fork","OR","MIDD","NF","541.575.3000","3","10","60403","3888",,"NH","VT","NW","1",,"86","0",,"NR",,"Austin","ND","NS","0",,"0",,,"6","W"
"42.129000","-124.177000","Miller Bar","OR","MILB","NF","541.247.3600","2","50","61103","246",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/sis.htm","87","0",,"NR",,"Brookings","ND","NS","0",,"0",,,"7.6","NE"
"42.795860","-122.466500","Mill Creek","OR","MILC","NF","541.865.2700","3","10","61003","2844",,"NH","VT","NW","1",,"88","0",,"NR",,"Prospect","ND","NS","0",,"0",,,"3.1","N"
"44.673530","-118.066920","Millers Lane","OR","MILL","NF","541.523.4476","3","8","61601","4085",,"NH","VT","NW","1",,"89","0",,"NR",,"Baker City","ND","NS","0",,"0","mid jun-mid sep","L$","13.4","SW"
"45.298830","-122.373540","McIver State Park","OR","MCIV","SP","503.630.7150",,,,"495",,"E",,"DW","1","www.oregonstateparks.org/park_142.php","90","0",,"RS",,"Estacada","DP","SH","0",,"402284","all year",,"2","W"
"43.380448","-122.948100","Millpond","OR","MILP","BLM","541.440.4930",,,,"476",,"NH",,,"91222","www.blm.gov/or/resources/recreation/site_info.php?siteid=192","91","0",,"NR",,"Sutherlin","ND","NS","0",,"0",,"L$","18.3","E"
"45.783200","-117.717770","Minam State Rec Area - Elgin","OR","MINA",,,,"12",,"3615","p","NH",,,"0","www.traveloregon.com/Explore-Oregon/Eastern-Oregon/Outdoor-Recreation/Water-Sports/Boating/Minam-State-Recreation-Area.aspx","92","0",,,,"Elgin","ND","NS","0",,"0",,,,
"43.582720","-122.712300","Mineral Forest Camp","OR","MINE","NF","541.767.5000","3","6","61501","1890",,"NH","VT","NW","1","www.forestcamping.com/dow/pacficnw/roginfo.htm","93","1",,"NR",,"Cottage Grove","ND","NS","0",,"0",,,"22.8","SE"
"44.203070","-122.263840","Mona","OR","MONA","NF","541.822.3381","4","23","61801","1335","cc","NH","VT","DW","1","forestcamping.com/dow/pacficnw/wil.htm","94","0",,"NR",,"Blue River","ND","NS","0",,"0",,,"5","NE"
"44.623520","-121.479080","Monty","OR","MONT","NF","541.549.7700","2","33","60105","2028",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","95","0",,"NR",,"Culver","ND","NS","0",,"0",,,"14.7","NW"
"45.868390","-117.960300","Mottet","OR","MOTT","NF","509.522.6290","3","6","61406","5184",,"NH","VT","DW","1","www.fs.fed.us/r6/uma/fire/fireupdate.shtml","96","1",,"NR",,"Milton-Freewater","ND","NS","0",,"0",,,"21","E"
"42.076000","-122.713430","Mt Ashland","OR","MTAS","NF","530.468.5351","3","9","50552","6739",,"NH","VT","NW","1","www.fs.fed.us/wildflowers/regions/pacificsouthwest/MtAshlandSiskiyouPeak/index.shtml","97","1",,"NR",,"Ashland","ND","NS","0",,"0",,,"8.2","S"
"42.282010","-120.204120","Mud Creek","OR","MUDC","NF","541.947.3334","3","15","60202","6473",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/fre.htm","98","0",,"NR",,"Lakeview","ND","NS","0",,"0",,,"9.7","NE"
"44.964420","-118.230220","Mud Lake","OR","MUDL","NF","541.894.2393","3","7","61601","7156",,"NH","VT","NW","1",,"99","0",,"RS",,"Baker City","ND","NS","0",,"72151","mid jul-late aug",,"23.4","NW"
"44.212650","-118.639000","Murray","OR","MURR","NF","541.820.3800","2","5","60404","5220","cc","NH","VT","NW","1",,"100","0",,"NR",,"Seneca","ND","NS","0",,"0",,,"17.3","E"
"42.786000","-124.023000","Myrtle Grove","OR","MYRT","NF","541.439.6200","3","5","61105","663",,"NH","VT","NW","1",,"101","0",,"NR",,"Powers","ND","NS","0",,"0",,,"7.2","S"
"42.893790","-122.464510","Natural Bridge","OR","NATU","NF","541.865.2700","4","19","61003","3304",,"NH","VT","NW","1","freecampsites.net/natural-bridge/","102","1",,"NR",,"Prospect","ND","NS","0",,"0",,"L$","9.7","N"
"45.698490","-123.936040","Nehalem Bay State Park","OR","NEHA","SP","503.368.5154",,,,"13",,"E",,"DW","1","www.oregonstateparks.org/park_201.php","103","0",,"RS",,"Manzanita Jct","DP","SH","0",,"402191","all year",,"1.4","S"
"42.146000","-124.155000","Nook Bar","OR","NOOK","NF","541.247.3600","3","34","61103","226",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/sis.htm","104","0",,"NR",,"Brookings","ND","NS","0",,"0",,,"9.2","NE"
"45.145200","-121.768100","North Arm","OR","NORA","NF","503.622.3191","2","12","60609","3356",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/mth.htm","105","0",,"NR",,,"ND","NS","0",,"0",,,,
"43.673620","-121.823370","North Davis Creek","OR","NORD","NF","541.383.4000","3","14","60101","4370",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/desc.htm","106","0",,"NR",,"Crescent","ND","NS","0",,"0",,,"15.9","NW"
"42.378000","-122.359000","North Fork","OR","NORF","NF","541.865.2700","3","13","61003","4688",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/rog.htm","107","0",,"NR",,"Butte Falls","ND","NS","0",,"0",,"L$","15.5","SE"
"44.208560","-118.381980","North Fork Malheur","OR","NORM","NF","541.820.3800","3","5","60404","4852","cc","NH","VT","NW","1","www.forestcamping.com/dow/pacficnw/malinfo.htm","108","1",,"NR",,,"ND","NS","0",,"0",,,,
"44.101800","-123.938240","North Fork Siuslaw","OR","NORS","NF","541.563.3211","3","8","61208","213",,"NH","VT","NW","1","www.traveloregon.com/Explore-Oregon/Oregon-Coast/Outdoor-Recreation/Fishing/Fishing/North-Fork-Campground.aspx","109","1",,"NR",,"Florence","ND","NS","0",,"0",,,"11.5","NE"
"43.731320","-121.763720","North Twin Lake","OR","NORT","NF","541.383.4000","3","20","60101","4403",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","110","0",,"NR",,"Crescent","ND","NS","0",,"0",,,"18.9","N"
"43.758330","-122.002780","North Waldo","OR","NORW","NF","541.782.2283","4","56","61810","5499",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/wil.htm","111","0",,"NR",,"Oakridge","DP","NS","30",,"0",,,"22.9","E"
